open,high,low,close,volume,amount,timestamps
7.419943,7.431359,7.3991733,7.4065676,48074.977,367459.03,2025-09-19 16:09:00
7.408548,7.424017,7.398808,7.4251003,57954.17,430537.22,2025-09-19 16:10:00
7.424693,7.4395456,7.420181,7.4348283,49874.97,376668.62,2025-09-19 16:11:00
7.4301353,7.4376764,7.423748,7.432619,31462.492,239540.03,2025-09-19 16:12:00
7.4360585,7.443041,7.4147367,7.4189067,38340.082,295607.22,2025-09-19 16:13:00
7.423658,7.4455676,7.410007,7.4262853,39935.676,303615.9,2025-09-19 16:14:00
7.4262805,7.4335938,7.4133224,7.42411,40443.312,303309.53,2025-09-19 16:15:00
7.422286,7.4256887,7.413623,7.417838,25202.238,189662.62,2025-09-19 16:16:00
7.4144273,7.420733,7.4046164,7.41483,35351.965,265969.1,2025-09-19 16:17:00
7.4129167,7.4174395,7.398198,7.4117846,44398.562,333973.1,2025-09-19 16:18:00
7.414909,7.421528,7.40845,7.415727,42366.535,319645.97,2025-09-19 16:19:00
7.4148602,7.4300303,7.4100137,7.418029,31413.715,252201.1,2025-09-19 16:20:00
7.4123826,7.4188037,7.4031277,7.410871,22713.25,179115.25,2025-09-19 16:21:00
7.4119854,7.4177537,7.403129,7.4107203,20924.531,164433.1,2025-09-19 16:22:00
7.411359,7.4234333,7.411495,7.4210086,27501.309,214679.78,2025-09-19 16:23:00
7.414137,7.4174743,7.399783,7.404273,21620.805,161856.53,2025-09-19 16:24:00
7.4026985,7.4075823,7.392532,7.398128,21445.652,158474.5,2025-09-19 16:25:00
7.3972015,7.406503,7.390518,7.4020047,30744.16,230167.28,2025-09-19 16:26:00
7.404634,7.4186044,7.401721,7.4158235,24766.79,186378.5,2025-09-19 16:27:00
7.4167,7.428967,7.405245,7.410379,35157.77,274121.5,2025-09-19 16:28:00
7.413102,7.4196,7.4042425,7.412316,19989.637,158954.38,2025-09-19 16:29:00
7.4176893,7.4242673,7.4157743,7.4200773,32094.879,242568.75,2025-09-19 16:30:00
7.421496,7.440126,7.406916,7.4178915,35113.285,265481.12,2025-09-19 16:31:00
7.4113436,7.4172883,7.397686,7.4062805,25234.477,185844.6,2025-09-19 16:32:00
7.408778,7.4316998,7.4073143,7.4289784,24932.254,190216.84,2025-09-19 16:33:00
7.4272537,7.4414606,7.4226494,7.4372034,23010.8,176945.5,2025-09-19 16:34:00
7.4413333,7.4567,7.437443,7.451925,28520.309,216820.03,2025-09-19 16:35:00
7.434215,7.483085,7.4177756,7.45704,55438.266,425132.34,2025-09-19 16:36:00
7.4663863,7.482078,7.4488726,7.4576197,46846.5,355515.8,2025-09-19 16:37:00
7.453414,7.471493,7.436887,7.4522533,39082.832,301729.6,2025-09-19 16:38:00
7.4577703,7.4608316,7.4507957,7.4531565,19357.316,150860.03,2025-09-19 16:39:00
7.442955,7.4440436,7.436122,7.440114,31624.648,218175.44,2025-09-19 16:40:00
7.441526,7.453788,7.4385743,7.451068,14384.453,102882.31,2025-09-19 16:41:00
7.451824,7.4598665,7.4447885,7.453836,24270.781,184654.69,2025-09-19 16:42:00
7.4552574,7.461331,7.449899,7.4569097,13948.598,101503.125,2025-09-19 16:43:00
7.460317,7.4723635,7.4551,7.4676476,25729.883,193546.6,2025-09-19 16:44:00
7.4739704,7.4902606,7.4703455,7.4858255,29036.746,216942.25,2025-09-19 16:45:00
7.4837875,7.488619,7.472302,7.4798765,37773.426,282332.47,2025-09-19 16:46:00
7.4805956,7.493797,7.4752502,7.4852133,41510.574,287880.62,2025-09-19 16:47:00
7.4872994,7.5234833,7.4850273,7.5189347,135560.12,1010783.4,2025-09-19 16:48:00
